Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZBJ0120-2701;BL Lac;20,13192;-27,02353;;1,18E+20;14,3;-11,1;14,5;0,5;;There are no confusing sources at this position. The closest object is located at 20 arcseconds;1,7;0,05;13,8;0,4;-11,16;-11,27;-11,03
No;3HSPJ012048.3+212854;BL Lac;20,20129;21,48164;0,259;4,60E+20;;;16,1;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,3;;;;;;
No;5BZQJ0121-2806;FSRQ;20,25308;-28,10614;3,119;1,47E+20;;;13,1;0,9;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;;;;;;;
No;5BZQJ0121+1127;FSRQ;20,37083;11,45014;2,487;3,51E+20;;;15,4;0,7;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;3FGL J0121.7+5154;;20,39025;51,93258;;2,39E+21;;;15,6;0,6;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ0121+1149;FSRQ;20,42317;11,83072;0,570;3,82E+20;12,8;-11,9;12,8;0,5;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;3,0;-0,44;12,7;0,4;-11,93;-12,05;-11,57
Yes;3HSPJ012152.7-391544;BL Lac;20,46954;-39,26228;0,300;2,09E+20;16,4;-11,9;16,4;0,5;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,9;1,25;17,5;0,0;-11,49;0,00;0,00
Yes;5BZQJ0121+0422;FSRQ;20,48692;4,37353;0,637;3,53E+20;12,3;-12,1;12,3;0,4;;No possible source for confusion within 20 arcseconds;2,9;-0,68;12,4;0,4;-12,13;-12,38;-11,91
No;5BZQJ0122+0310;FSRQ;20,50796;3,16736;4,000;2,99E+20;;;13,2;1,1;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;3HSPJ012203.8-300509;BL Lac;20,51583;-30,08592;0,440;1,55E+20;17,4;-12,3;17,2;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
No;5BZBJ0122+1510;BL Lac;20,61408;15,17308;;3,48E+20;;;15,8;0,7;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,4;;;;;;
Yes;5BZQJ0122+2502;FSRQ;20,66171;25,04217;2,025;6,08E+20;12,5;-12,3;12,4;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,4;-0,48;12,6;0,4;-12,31;-12,44;-12,06
No;5BZQJ0122-0935;FSRQ;20,70029;-9,59639;0,784;3,33E+20;;;15,1;0,4;;No possible source for confusion within 20 arcseconds;1,4;-0,57;12,5;0,4;-12,13;-12,21;-12,07
Yes;5BZBJ0123+3420;BL Lac;20,78596;34,34681;0,270;4,68E+20;17,7;-10,9;17,7;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 6 arcseconds, vmag=16.8;1,4;1,03;17,5;0,0;-11,39;0,00;0,00
Yes;5BZBJ0123-2310;;20,90979;-23,18294;0,404;1,18E+20;17,0;-11,4;17,1;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,5;1,03;17,5;0,0;-11,51;0,00;0,00
Yes;3HSPJ012340.4+421017;;20,91830;42,17160;;6,64E+20;17,5;-11,9;17,5;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,2;;;;;;
Yes;5BZGJ0123+4210;;20,91871;42,16856;0,186;6,64E+20;17,6;-11,7;17,5;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,3;;;;;;
Yes;5BZQJ0123+2615;FSRQ;20,92933;26,25622;0,849;7,26E+20;13,1;-12,3;14,1;1,2;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,3;-0,84;12,2;0,4;-11,97;-12,02;-11,89
No;5BZBJ0124+3249;;21,12733;32,82953;0,360;5,12E+20;;;16,5;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;3HSPJ012443.7-314343;BL Lac;21,18217;-31,72856;0,400;2,31E+20;16,9;-12,2;16,9;0,5;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,3;;;;;;
Yes;5BZBJ0124+0918;BL Lac;21,18550;9,31369;0,338;5,24E+20;17,3;-12,5;17,1;0,5;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,4;;;;;;
Yes;5BZBJ0124-0625;BL Lac;21,21033;-6,41692;;3,77E+20;13,4;-12,2;13,4;0,5;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;3,4;-0,32;12,8;0,4;-12,33;-12,63;-12,11
No;5BZQJ0124+2805;FSRQ;21,23283;28,08650;0,710;6,14E+20;;;14,9;0,9;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,4;-0,38;12,8;0,4;-11,94;-12,02;-11,88
Yes;5BZQJ0124-5113;FSRQ;21,23896;-51,22125;1,104;1,82E+20;13,1;-12,4;13,1;0,8;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;3,1;-0,09;13,2;0,4;-12,43;-12,71;-12,22
No;5BZQJ0125+0146;FSRQ;21,27292;1,77414;1,559;3,25E+20;;;12,9;0,8;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;4FGL J0125.7-0015;;21,32146;-0,30803;1,077;2,88E+20;12,9;-12,6;12,8;0,5;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,4;-0,31;12,9;0,4;-12,58;-12,66;-12,51
Yes;5BZBJ0125-2549;BL Lac;21,32850;-25,81789;;1,16E+20;13,1;-12,0;13,1;0,5;;No possible source for confusion within 20 arcseconds;7,6;-0,05;13,4;0,4;-12,09;-12,75;-11,87
No;3HSPJ012523.5-292047;BL Lac;21,34792;-29,34647;0,630;1,40E+20;;;16,2;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ0125-0005;FSRQ;21,37017;-0,09886;1,077;3,02E+20;12,4;-12,0;12,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;4FGL J0125.4+3200;;21,42929;31,88733;;4,75E+20;;;13,0;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 3 arcseconds, vmag=100.0;;;;;;;
No;4FGL J0125.8+2605;;21,47019;26,11021;;6,91E+20;;;14,3;0,8;;No possible source for confusion within 20 arcseconds;3,0;0,59;15,9;0,4;-12,09;-12,29;-11,81
Yes;5BZQJ0126-2222;FSRQ;21,56250;-22,37600;0,717;1,34E+20;13,1;-12,0;12,9;0,4;;No possible source for confusion within 20 arcseconds;2,9;-0,32;12,8;0,4;-11,99;-12,14;-11,68
No;3HSPJ012629.6-350506;BL Lac;21,62317;-35,08486;0,480;2,13E+20;;;16,2;0,6;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ0126+2559;FSRQ;21,67829;25,98367;2,358;6,72E+20;12,7;-12,2;12,3;0,4;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 8 arcseconds, vmag=18.6;1,9;-0,17;13,0;0,4;-12,26;-12,38;-12,10
No;3HSPJ012652.2+003308;BL Lac;21,71737;0,55233;0,670;2,93E+20;;;16,6;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZBJ0126+3307;BL Lac;21,73846;33,12508;0,450;5,21E+20;16,6;-12,1;16,6;0,4;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,7;0,50;15,5;0,4;-12,37;-12,50;-12,29
No;4FGL J0126.5-1553;;21,78538;-15,93172;;1,41E+20;;;14,3;0,9;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 19 arcseconds;1,3;-0,68;12,4;0,4;-12,23;-12,32;-12,20
No;5BZBJ0127-8108;BL Lac;21,79254;-81,13908;;5,77E+20;;;12,8;0,6;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,2;;;;;;
Yes;5BZBJ0127-0151;;21,79613;-1,86494;;4,31E+20;14,9;-12,4;15,2;0,6;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;2,6;0,19;14,3;0,4;-12,46;-12,58;-12,17
Yes;3HSPJ012713.9+032301;BL Lac;21,80808;3,38353;;2,70E+20;15,8;-11,7;15,6;0,3;;No possible source for confusion within 20 arcseconds;3,8;0,56;15,8;0,4;-11,86;-12,10;-11,52
Yes;PMN J0127-4813;;21,81183;-48,22558;;1,48E+20;13,3;-11,7;13,3;0,6;;Possible confusing source at distance of 3 arcseconds, vmag=100.0;4,7;-0,54;12,6;0,4;-11,81;-12,19;-11,51
Yes;5BZBJ0127-0821;BL Lac;21,81796;-8,35803;0,360;2,77E+20;13,3;-12,0;13,1;0,5;;No possible source for confusion within 20 arcseconds;2,1;0,02;13,6;0,4;-11,98;-12,18;-11,86
No;3HSPJ012722.1+211442;BL Lac;21,84212;21,24500;0,350;4,51E+20;;;16,2;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,3;1,52;17,5;0,0;-11,88;0,00;0,00
Yes;5BZBJ0127-0013;BL Lac;21,96179;-0,22961;0,440;2,90E+20;15,4;-12,8;15,4;0,4;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,3;;;;;;
Yes;4FGL J0128.2-1722;;22,00580;-17,37340;;1,84E+20;12,8;-12,3;13,0;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,9;-0,46;12,7;0,4;-12,27;-12,51;-12,05
Yes;5BZGJ0128+4901;;22,03358;49,01833;0,067;1,15E+21;12,9;-11,2;13,3;0,7;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;7,2;-0,24;12,9;0,4;-11,16;-11,48;-10,62
Yes;MG4 J012818+4405;;22,10846;44,07513;;7,79E+20;13,0;-12,5;13,0;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;;;;;;;
Yes;5BZUJ0128+4439;;22,17225;44,65500;0,228;7,32E+20;13,1;-12,5;13,5;0,5;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,4;-0,19;13,0;0,4;-12,47;-12,72;-12,34
Yes;3HSPJ012917.9-034402;BL Lac;22,32467;-3,73392;0,430;3,46E+20;16,5;-12,4;16,5;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,3;0,98;17,4;0,4;-11,92;-11,98;-11,85
Yes;TXS 0126+343;;22,43115;34,61631;;4,32E+20;13,2;-12,4;13,6;0,5;;No possible source for confusion within 20 arcseconds;2,2;-0,42;12,7;0,4;-12,38;-12,52;-12,19
Yes;PKS 0127+145;;22,48061;14,77995;1,631;3,58E+20;12,7;-12,1;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;9,3;-0,56;12,6;0,4;-11,95;-12,33;-11,36
No;5BZQJ0130-1019;FSRQ;22,53708;-10,31881;1,005;3,73E+20;;;15,1;0,6;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,2;;;;;;
No;3HSPJ013025.7-212839;BL Lac;22,60725;-21,47747;0,300;1,10E+20;;;15,5;0,5;;No possible source for confusion within 20 arcseconds;2,1;0,43;15,2;0,4;-11,98;-12,18;-11,87
Yes;5BZQJ0130+0842;FSRQ;22,61517;8,71283;0,725;4,45E+20;13,3;-12,5;13,2;0,7;;No possible source for confusion within 20 arcseconds;3,2;-0,05;13,4;0,4;-12,52;-12,81;-12,31
Yes;MG1 J013030+1843;;22,62769;18,72274;;3,90E+20;13,2;-12,0;13,4;0,5;;No possible source for confusion within 20 arcseconds;4,4;-0,17;13,0;0,4;-12,06;-12,38;-11,74
Yes;5BZBJ0131+6120;BL Lac;22,78012;61,34261;;5,40E+21;16,3;-11,5;16,4;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;4,5;0,74;16,5;0,4;-11,52;-11,94;-11,29
No;3HSPJ013113.8+554513;BL Lac;22,80758;55,75361;0,036;2,55E+21;;;14,8;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
Yes;5BZQJ0131+3834;FSRQ;22,86129;38,57755;1,277;5,93E+20;12,6;-12,3;12,8;0,6;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;3,8;-0,71;12,4;0,4;-12,26;-12,53;-11,95
Yes;3HSPJ013241.1-080405;BL Lac;23,17138;-8,06803;0,149;3,00E+20;15,8;-11,8;15,7;0,9;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,6;1,56;17,5;0,0;-11,06;0,00;0,00
Yes;5BZQJ0132-1654;FSRQ;23,18112;-16,91344;1,020;1,54E+20;12,7;-11,4;12,8;0,3;;No possible source for confusion within 20 arcseconds;10,1;-0,44;12,7;0,4;-11,43;-11,83;-10,83
Yes;3FGL J0133.3+4324;;23,18386;43,42574;;8,03E+20;12,8;-11,8;13,1;0,5;;No possible source for confusion within 20 arcseconds;6,5;-0,52;12,6;0,4;-11,80;-12,35;-11,53
Yes;5BZUJ0133-5200;;23,27400;-52,00108;;2,23E+20;12,5;-11,7;12,4;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;13,6;-0,48;12,6;0,4;-11,57;-12,14;-11,01
Yes;5BZBJ0133-4414;BL Lac;23,27654;-44,23928;;1,40E+20;14,9;-12,0;14,7;0,4;;No possible source for confusion within 20 arcseconds;2,5;0,41;15,2;0,4;-11,81;-12,00;-11,60
Yes;3HSPJ013309.3-453524;BL Lac;23,28867;-45,59000;;1,51E+20;16,3;-12,5;16,3;0,6;Not enough flux variability. ;Possible confusing source at distance of 3 arcseconds, vmag=100.0;1,3;;;;;;
Yes;3HSPJ013312.1-351917;BL Lac;23,30054;-35,32128;0,174;1,84E+20;16,6;-12,4;16,6;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;4FGL J0133.7-5527;;23,53671;-55,43817;;2,03E+20;13,0;-12,6;14,4;1,3;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,9;-0,35;12,8;0,4;-12,52;-12,66;-12,39
Yes;5BZBJ0134+2638;BL Lac;23,61746;26,64525;0,260;6,72E+20;15,7;-11,6;16,0;0,5;;There are no confusing sources at this position. The closest object is located at 20 arcseconds;2,5;0,56;15,8;0,4;-11,51;-11,73;-11,33
Yes;5BZQJ0134-3843;FSRQ;23,63346;-38,72594;2,140;1,55E+20;12,5;-11,8;12,8;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,8;-0,63;12,5;0,4;-11,84;-11,93;-11,48
Yes;3FGL J0135.0+6927;;23,66984;69,41969;;3,63E+21;13,0;-12,3;12,9;0,6;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;2,3;-0,11;13,1;0,4;-12,30;-12,50;-12,14
No;NVWJ0134.0+0800;;23,70510;8,01340;;4,47E+20;;;14,1;0,6;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,1;;;;;;
No;3HSPJ013507.0+025543;BL Lac;23,77934;2,92850;0,372;3,15E+20;;;16,1;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,4;1,07;17,5;0,0;-11,79;0,00;0,00
Yes;3HSPJ013523.6-272813;BL Lac;23,84842;-27,47030;0,248;1,60E+20;16,3;-12,2;16,3;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,3;;;;;;
No;5BZQJ0135-2008;FSRQ;23,90629;-20,14608;1,141;1,62E+20;;;12,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 7 arcseconds, vmag=100.0;;;;;;;
No;3HSPJ013548.7-201347;BL Lac;23,95304;-20,22972;0,370;1,73E+20;;;15,6;0,4;;Possible confusing source at distance of 4 arcseconds, vmag=100.0;1,4;-0,39;12,8;0,4;-11,89;-11,96;-11,83
Yes;5BZQJ0136-4044;FSRQ;24,02758;-40,73886;0,649;1,56E+20;12,3;-12,3;14,5;1,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ013626.7+302012;BL Lac;24,11121;30,33658;0,330;4,70E+20;;;15,5;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;NVWJ0136.7-1644;;24,11810;-16,73380;;1,27E+20;;;15,7;0,5;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;4FGL J0136.8+2032;;24,13410;20,47150;;4,10E+20;13,6;-12,4;13,5;0,7;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;4,6;0,06;13,8;0,4;-12,49;-12,82;-12,16
Yes;5BZBJ0136+3905;BL Lac;24,13579;39,09978;;6,86E+20;15,9;-11,0;16,0;0,5;;No possible source for confusion within 20 arcseconds;1,7;0,54;15,7;0,4;-10,99;-11,08;-10,85
Yes;5BZQJ0136+4751;FSRQ;24,24413;47,85808;0,859;1,02E+21;12,6;-11,2;12,7;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;17,8;-0,52;12,6;0,4;-11,25;-12,00;-10,75
Yes;5BZQJ0137+3122;FSRQ;24,28638;31,37661;1,716;4,34E+20;12,6;-12,6;12,4;0,3;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ0137-2430;FSRQ;24,40979;-24,51497;0,835;1,18E+20;12,6;-11,3;12,6;0,3;;No possible source for confusion within 20 arcseconds;2,6;-0,71;12,4;0,4;-11,56;-11,71;-11,30
